order_id,site,customer_type,order_date,project_cluster,basket_size,order_value_gbp,funnel_stage_reached
ORD-6824,Site-105,M&E Contractor,2025-08-09,Groundworks,3,3726.3,Returned / Completed
ORD-6825,Site-076,Landscaping Contractor,2026-01-28,Logistics,2,1757.16,Returned / Completed
ORD-6826,Site-138,M&E Contractor,2025-07-21,Finishing,3,2704.39,Returned / Completed
ORD-6827,Site-083,M&E Contractor,2026-06-12,Fixing,3,3115.33,Returned / Completed
ORD-6828,Site-078,Landscaping Contractor,2026-06-01,Groundworks,4,5454.3,Quote Requested
ORD-6829,Site-076,M&E Contractor,2026-05-06,Fixing,2,1729.82,Returned / Completed
ORD-6830,Site-179,Groundworks Sub-contractor,2025-08-02,Finishing,3,5151.06,Returned / Completed
ORD-6831,Site-163,M&E Contractor,2026-06-13,Landscaping,2,2402.35,Returned / Completed
ORD-6832,Site-156,Facilities Management,2026-03-12,Finishing,3,4298.11,Returned / Completed
ORD-6833,Site-063,Main Contractor,2026-07-01,Logistics,3,3980.22,Returned / Completed
ORD-6834,Site-160,Main Contractor,2026-02-17,Access & Height,2,3733.08,Quote Requested
ORD-6835,Site-117,Self-Employed Trade,2025-12-31,Finishing,2,2179.83,Returned / Completed
ORD-6836,Site-080,Groundworks Sub-contractor,2026-02-18,Landscaping,2,1274.27,Returned / Completed
ORD-6837,Site-155,Groundworks Sub-contractor,2026-05-26,Groundworks,3,3256.06,Returned / Completed
ORD-6838,Site-023,Main Contractor,2025-07-20,Fixing,3,3284.19,Quote Approved
ORD-6839,Site-097,Main Contractor,2025-08-05,Landscaping,3,2983.74,Quote Requested
ORD-6840,Site-019,Main Contractor,2025-08-22,Demolition,2,3947.5,Returned / Completed
ORD-6841,Site-037,M&E Contractor,2026-07-03,Demolition,2,3528.72,Returned / Completed
ORD-6842,Site-124,Groundworks Sub-contractor,2026-03-13,Demolition,2,4354.25,Returned / Completed
ORD-6843,Site-095,Facilities Management,2026-07-11,Groundworks,1,1477.57,Dispatched
ORD-6844,Site-079,M&E Contractor,2026-06-05,Access & Height,3,3509.6,Returned / Completed
ORD-6845,Site-017,Self-Employed Trade,2026-05-15,Access & Height,2,2935.3,Returned / Completed
ORD-6846,Site-093,Groundworks Sub-contractor,2025-12-25,Site Setup,1,1064.38,Returned / Completed
ORD-6847,Site-079,Main Contractor,2025-07-24,Finishing,1,857.97,Returned / Completed
ORD-6848,Site-037,Main Contractor,2025-09-23,Finishing,1,803.77,Returned / Completed
ORD-6849,Site-028,Self-Employed Trade,2025-12-17,Demolition,2,2569.2,Returned / Completed
ORD-6850,Site-024,Main Contractor,2026-06-01,Logistics,1,299.8,Returned / Completed
ORD-6851,Site-149,Landscaping Contractor,2026-02-22,Finishing,3,4514.44,Returned / Completed
ORD-6852,Site-159,Main Contractor,2026-04-19,Groundworks,2,3616.01,Returned / Completed
ORD-6853,Site-142,Self-Employed Trade,2025-09-05,Landscaping,4,5099.47,Quote Requested
ORD-6854,Site-092,Groundworks Sub-contractor,2026-01-06,Logistics,1,1365.94,Returned / Completed
ORD-6855,Site-057,Landscaping Contractor,2025-12-07,Demolition,5,9081.21,Quote Requested
ORD-6856,Site-114,Groundworks Sub-contractor,2025-10-23,Logistics,2,2651.43,Returned / Completed
ORD-6857,Site-027,Facilities Management,2025-12-27,Site Setup,2,2336.0,Returned / Completed
ORD-6858,Site-078,Main Contractor,2025-10-06,Fixing,3,3092.42,Quote Requested
ORD-6859,Site-085,Landscaping Contractor,2025-12-23,Demolition,2,1770.06,Returned / Completed
ORD-6860,Site-170,Main Contractor,2025-09-29,Finishing,3,2701.83,Dispatched
ORD-6861,Site-042,Facilities Management,2026-06-15,Landscaping,2,2094.39,Returned / Completed
ORD-6862,Site-144,Demolition Specialist,2025-10-16,Landscaping,3,5843.98,Quote Approved
ORD-6863,Site-179,Landscaping Contractor,2026-01-22,Access & Height,1,551.82,Returned / Completed
ORD-6864,Site-036,Landscaping Contractor,2025-09-13,Landscaping,1,1764.46,Returned / Completed
ORD-6865,Site-046,Demolition Specialist,2025-11-26,Groundworks,4,3842.59,Returned / Completed
ORD-6866,Site-128,Facilities Management,2026-05-23,Landscaping,1,189.95,Returned / Completed
ORD-6867,Site-103,Self-Employed Trade,2026-01-16,Finishing,3,2168.59,Returned / Completed
ORD-6868,Site-022,Landscaping Contractor,2026-05-16,Logistics,2,1375.74,Returned / Completed
ORD-6869,Site-120,Main Contractor,2026-02-16,Landscaping,2,2561.35,On Hire
ORD-6870,Site-136,Main Contractor,2025-08-16,Groundworks,2,1328.48,Returned / Completed
ORD-6871,Site-068,Facilities Management,2026-05-18,Landscaping,2,1443.03,Returned / Completed
ORD-6872,Site-116,Landscaping Contractor,2026-05-06,Finishing,3,4601.05,Returned / Completed
ORD-6873,Site-098,M&E Contractor,2025-10-25,Demolition,3,4155.19,Returned / Completed
ORD-6874,Site-066,Groundworks Sub-contractor,2026-05-13,Site Setup,2,2625.91,Returned / Completed
ORD-6875,Site-085,Self-Employed Trade,2025-08-29,Logistics,1,1994.67,Returned / Completed
ORD-6876,Site-065,Self-Employed Trade,2025-07-17,Logistics,3,1744.59,Returned / Completed
ORD-6877,Site-076,Groundworks Sub-contractor,2025-09-02,Groundworks,2,2662.54,Quote Requested
ORD-6878,Site-103,M&E Contractor,2026-02-27,Access & Height,2,3997.08,Returned / Completed
ORD-6879,Site-143,M&E Contractor,2025-10-08,Demolition,3,2879.22,Returned / Completed
ORD-6880,Site-162,M&E Contractor,2026-07-14,Access & Height,2,3256.46,Returned / Completed
ORD-6881,Site-077,M&E Contractor,2025-07-16,Access & Height,3,5803.78,Returned / Completed
ORD-6882,Site-010,Self-Employed Trade,2025-12-05,Access & Height,4,3519.11,Returned / Completed
ORD-6883,Site-016,Facilities Management,2025-12-03,Logistics,2,3226.1,Quote Requested
ORD-6884,Site-142,Groundworks Sub-contractor,2026-01-27,Access & Height,2,2954.17,Quote Requested
ORD-6885,Site-037,Main Contractor,2025-10-25,Groundworks,3,2944.13,Returned / Completed
ORD-6886,Site-013,Main Contractor,2026-07-15,Fixing,3,3776.47,Returned / Completed
ORD-6887,Site-053,Groundworks Sub-contractor,2026-02-13,Demolition,2,2740.8,Returned / Completed
ORD-6888,Site-024,M&E Contractor,2026-03-15,Demolition,2,1731.36,Returned / Completed
ORD-6889,Site-047,Groundworks Sub-contractor,2026-06-20,Access & Height,2,2249.58,Returned / Completed
ORD-6890,Site-055,Demolition Specialist,2025-12-28,Groundworks,3,2768.06,Returned / Completed
ORD-6891,Site-061,Main Contractor,2026-02-17,Access & Height,2,3460.45,Returned / Completed
ORD-6892,Site-006,Groundworks Sub-contractor,2025-11-19,Access & Height,1,2044.67,Quote Requested
ORD-6893,Site-091,Self-Employed Trade,2025-10-11,Finishing,1,1153.64,Returned / Completed
ORD-6894,Site-130,Groundworks Sub-contractor,2026-04-11,Fixing,3,5148.96,Returned / Completed
ORD-6895,Site-062,M&E Contractor,2026-02-11,Site Setup,3,3623.1,Returned / Completed
ORD-6896,Site-111,M&E Contractor,2025-07-17,Finishing,2,1607.64,Returned / Completed
ORD-6897,Site-116,Landscaping Contractor,2026-03-19,Fixing,3,1574.88,Quote Approved
ORD-6898,Site-045,Facilities Management,2026-04-10,Groundworks,4,5576.45,Returned / Completed
ORD-6899,Site-007,Groundworks Sub-contractor,2026-02-01,Landscaping,1,2068.9,Returned / Completed
ORD-6900,Site-139,Self-Employed Trade,2025-09-16,Logistics,2,2958.28,Returned / Completed
ORD-6901,Site-076,Main Contractor,2026-04-17,Fixing,3,5019.41,Returned / Completed
ORD-6902,Site-150,M&E Contractor,2025-09-07,Access & Height,3,2653.96,Returned / Completed
ORD-6903,Site-064,Facilities Management,2026-05-30,Site Setup,4,6124.16,Returned / Completed
ORD-6904,Site-087,Main Contractor,2026-04-03,Demolition,1,516.67,Returned / Completed
ORD-6905,Site-142,Groundworks Sub-contractor,2026-01-01,Finishing,3,3500.69,Quote Requested
ORD-6906,Site-052,Main Contractor,2025-08-17,Fixing,3,3919.84,Returned / Completed
ORD-6907,Site-110,Groundworks Sub-contractor,2026-04-06,Groundworks,3,2473.81,Quote Requested
ORD-6908,Site-034,Main Contractor,2025-11-17,Access & Height,3,2354.73,Returned / Completed
ORD-6909,Site-066,Facilities Management,2025-08-13,Demolition,3,4999.91,Dispatched
ORD-6910,Site-148,M&E Contractor,2025-12-02,Groundworks,3,2490.93,Returned / Completed
ORD-6911,Site-168,Demolition Specialist,2026-05-07,Finishing,3,2471.31,Returned / Completed
ORD-6912,Site-128,Demolition Specialist,2026-05-23,Groundworks,1,1466.95,Quote Requested
ORD-6913,Site-055,Demolition Specialist,2025-12-22,Logistics,2,3481.83,Returned / Completed
ORD-6914,Site-130,Self-Employed Trade,2025-10-02,Demolition,3,3752.92,Returned / Completed
ORD-6915,Site-012,Self-Employed Trade,2026-03-11,Landscaping,3,4373.97,Returned / Completed
ORD-6916,Site-171,M&E Contractor,2025-09-26,Demolition,2,2592.49,Returned / Completed
ORD-6917,Site-026,M&E Contractor,2026-03-10,Fixing,3,3173.91,Quote Requested
ORD-6918,Site-086,Groundworks Sub-contractor,2026-03-05,Finishing,3,3905.33,Returned / Completed
ORD-6919,Site-073,Groundworks Sub-contractor,2026-02-05,Access & Height,2,2841.51,Returned / Completed
ORD-6920,Site-103,Groundworks Sub-contractor,2025-12-25,Landscaping,2,3948.18,Returned / Completed
ORD-6921,Site-017,Demolition Specialist,2026-04-12,Logistics,2,1549.51,Returned / Completed
ORD-6922,Site-120,Main Contractor,2025-11-24,Landscaping,2,2025.61,Returned / Completed
ORD-6923,Site-133,Facilities Management,2026-04-11,Groundworks,1,875.08,Returned / Completed
ORD-6924,Site-135,Demolition Specialist,2026-05-17,Demolition,4,4016.16,Returned / Completed
ORD-6925,Site-069,Main Contractor,2025-10-21,Finishing,2,2627.41,Returned / Completed
ORD-6926,Site-111,Main Contractor,2026-01-31,Site Setup,3,3478.52,Returned / Completed
ORD-6927,Site-155,Facilities Management,2026-07-09,Access & Height,3,2776.28,Returned / Completed
ORD-6928,Site-026,Main Contractor,2025-10-03,Site Setup,2,1212.12,Returned / Completed
ORD-6929,Site-011,Main Contractor,2025-11-05,Demolition,3,2248.94,Returned / Completed
ORD-6930,Site-155,Main Contractor,2025-09-11,Groundworks,4,4928.99,Returned / Completed
ORD-6931,Site-073,Self-Employed Trade,2026-04-23,Groundworks,3,4021.63,Returned / Completed
ORD-6932,Site-042,Main Contractor,2025-07-26,Groundworks,1,1582.06,Dispatched
ORD-6933,Site-092,Facilities Management,2025-12-28,Finishing,1,203.66,Returned / Completed
ORD-6934,Site-098,Landscaping Contractor,2026-03-26,Access & Height,3,3350.82,Returned / Completed
ORD-6935,Site-141,Landscaping Contractor,2025-10-19,Landscaping,2,1956.72,Returned / Completed
ORD-6936,Site-065,Landscaping Contractor,2025-11-29,Fixing,2,1778.52,Returned / Completed
ORD-6937,Site-049,M&E Contractor,2025-11-08,Logistics,2,3392.22,Returned / Completed
ORD-6938,Site-155,M&E Contractor,2026-06-06,Logistics,3,2675.39,Returned / Completed
ORD-6939,Site-170,Landscaping Contractor,2025-09-14,Site Setup,2,1189.32,Returned / Completed
ORD-6940,Site-126,Main Contractor,2026-01-10,Finishing,1,1096.06,Returned / Completed
ORD-6941,Site-040,Demolition Specialist,2025-07-26,Access & Height,2,3057.21,Returned / Completed
ORD-6942,Site-073,Main Contractor,2026-01-09,Access & Height,1,923.59,Quote Approved
ORD-6943,Site-061,Demolition Specialist,2025-07-15,Finishing,3,3534.52,Returned / Completed
ORD-6944,Site-012,Demolition Specialist,2025-07-20,Finishing,2,3477.61,Quote Requested
ORD-6945,Site-080,Facilities Management,2026-03-15,Finishing,2,854.41,Returned / Completed
ORD-6946,Site-084,M&E Contractor,2026-04-02,Finishing,3,2765.76,Returned / Completed
ORD-6947,Site-052,M&E Contractor,2025-08-26,Site Setup,3,3249.05,On Hire
ORD-6948,Site-020,Groundworks Sub-contractor,2025-09-19,Finishing,3,3636.16,Returned / Completed
ORD-6949,Site-060,Landscaping Contractor,2026-02-19,Logistics,2,2524.96,Returned / Completed
ORD-6950,Site-108,M&E Contractor,2026-01-11,Landscaping,3,4163.08,Quote Requested
ORD-6951,Site-124,Main Contractor,2026-02-09,Site Setup,2,2783.33,Returned / Completed
ORD-6952,Site-039,Self-Employed Trade,2025-10-13,Finishing,3,3854.77,Returned / Completed
ORD-6953,Site-086,Groundworks Sub-contractor,2026-05-12,Fixing,3,3223.62,Returned / Completed
ORD-6954,Site-012,Facilities Management,2026-03-02,Finishing,2,2731.16,Dispatched
ORD-6955,Site-082,Demolition Specialist,2025-07-25,Logistics,2,2261.51,Returned / Completed
ORD-6956,Site-111,Groundworks Sub-contractor,2025-10-25,Demolition,4,6622.99,Returned / Completed
ORD-6957,Site-179,Main Contractor,2025-12-05,Demolition,3,4377.96,Quote Approved
ORD-6958,Site-038,Main Contractor,2026-03-10,Logistics,3,3852.72,Returned / Completed
ORD-6959,Site-121,Facilities Management,2025-10-15,Fixing,3,3885.69,Returned / Completed
ORD-6960,Site-057,Demolition Specialist,2026-02-04,Landscaping,4,5962.23,Returned / Completed
ORD-6961,Site-141,Self-Employed Trade,2026-04-29,Finishing,2,1740.98,Returned / Completed
ORD-6962,Site-059,Demolition Specialist,2026-01-29,Fixing,3,2876.4,On Hire
ORD-6963,Site-030,Main Contractor,2026-03-30,Access & Height,4,5563.33,Returned / Completed
ORD-6964,Site-055,Facilities Management,2025-11-07,Logistics,2,1268.57,On Hire
ORD-6965,Site-052,Main Contractor,2026-03-30,Landscaping,3,4115.47,Returned / Completed
ORD-6966,Site-103,Landscaping Contractor,2026-06-21,Logistics,2,3106.68,Returned / Completed
ORD-6967,Site-067,M&E Contractor,2026-06-19,Access & Height,2,1685.58,Returned / Completed
ORD-6968,Site-161,Groundworks Sub-contractor,2026-02-11,Demolition,2,3991.89,Returned / Completed
ORD-6969,Site-005,Facilities Management,2026-06-06,Fixing,3,2776.78,Returned / Completed
ORD-6970,Site-134,Facilities Management,2026-06-01,Access & Height,2,3457.33,Returned / Completed
ORD-6971,Site-026,Self-Employed Trade,2025-09-13,Access & Height,2,1757.68,Returned / Completed
ORD-6972,Site-161,Groundworks Sub-contractor,2025-12-06,Access & Height,2,1966.63,Quote Requested
ORD-6973,Site-166,Main Contractor,2026-03-11,Landscaping,3,4187.2,Returned / Completed
ORD-6974,Site-050,Groundworks Sub-contractor,2025-08-11,Landscaping,2,2218.34,Quote Requested
ORD-6975,Site-006,Self-Employed Trade,2025-08-26,Access & Height,3,3235.04,Returned / Completed
ORD-6976,Site-099,Landscaping Contractor,2025-07-31,Site Setup,4,4823.81,Returned / Completed
ORD-6977,Site-073,Self-Employed Trade,2025-11-25,Site Setup,5,5969.68,Quote Requested
ORD-6978,Site-104,Landscaping Contractor,2025-10-26,Demolition,2,3985.09,Returned / Completed
ORD-6979,Site-056,M&E Contractor,2026-04-10,Landscaping,1,2049.11,Returned / Completed
ORD-6980,Site-163,Self-Employed Trade,2026-04-03,Demolition,2,1213.43,Returned / Completed
ORD-6981,Site-058,M&E Contractor,2025-11-16,Finishing,3,2631.68,Quote Requested
ORD-6982,Site-106,Demolition Specialist,2025-08-28,Finishing,4,5796.54,Quote Requested
ORD-6983,Site-135,M&E Contractor,2026-03-10,Site Setup,2,3094.15,Returned / Completed
ORD-6984,Site-148,Self-Employed Trade,2026-05-10,Groundworks,2,1963.72,Returned / Completed
ORD-6985,Site-049,Landscaping Contractor,2026-06-19,Landscaping,3,4375.44,Returned / Completed
ORD-6986,Site-076,Landscaping Contractor,2026-05-18,Fixing,2,938.84,Returned / Completed
ORD-6987,Site-171,Self-Employed Trade,2026-02-27,Fixing,2,1653.29,Returned / Completed
ORD-6988,Site-066,M&E Contractor,2026-03-08,Access & Height,3,5424.79,Returned / Completed
ORD-6989,Site-125,Main Contractor,2026-07-12,Site Setup,4,5080.29,Quote Requested
ORD-6990,Site-030,M&E Contractor,2026-04-05,Landscaping,4,3889.57,Returned / Completed
ORD-6991,Site-017,Self-Employed Trade,2026-02-01,Fixing,3,2917.62,Returned / Completed
ORD-6992,Site-172,Self-Employed Trade,2026-03-24,Access & Height,1,2021.41,Quote Requested
ORD-6993,Site-154,Self-Employed Trade,2025-12-11,Fixing,2,3822.84,Quote Requested
ORD-6994,Site-013,Facilities Management,2026-07-02,Finishing,3,2502.6,Returned / Completed
ORD-6995,Site-029,Groundworks Sub-contractor,2026-04-09,Fixing,2,2255.65,Returned / Completed
ORD-6996,Site-170,M&E Contractor,2026-01-19,Finishing,2,2400.0,Returned / Completed
ORD-6997,Site-094,Demolition Specialist,2026-04-07,Finishing,3,3363.02,Returned / Completed
ORD-6998,Site-101,Self-Employed Trade,2025-09-13,Demolition,3,3491.02,Returned / Completed
ORD-6999,Site-020,Self-Employed Trade,2026-03-01,Logistics,2,3879.57,Returned / Completed
ORD-7000,Site-005,Self-Employed Trade,2025-12-23,Demolition,2,2888.69,Returned / Completed
ORD-7001,Site-165,Groundworks Sub-contractor,2025-07-17,Finishing,2,2914.51,Returned / Completed
ORD-7002,Site-167,Groundworks Sub-contractor,2025-07-16,Access & Height,2,1080.86,Returned / Completed
ORD-7003,Site-103,Demolition Specialist,2026-02-12,Landscaping,3,1986.05,Quote Requested
ORD-7004,Site-163,Main Contractor,2025-08-13,Fixing,3,2339.11,Quote Requested
ORD-7005,Site-072,Self-Employed Trade,2026-03-27,Demolition,3,4880.54,Returned / Completed
ORD-7006,Site-129,Groundworks Sub-contractor,2025-09-06,Access & Height,3,5354.43,Returned / Completed
ORD-7007,Site-021,M&E Contractor,2026-06-22,Landscaping,1,641.21,Dispatched
ORD-7008,Site-069,M&E Contractor,2026-04-08,Finishing,3,3717.87,Dispatched
ORD-7009,Site-138,Self-Employed Trade,2025-09-12,Demolition,2,2233.23,Quote Approved
ORD-7010,Site-027,M&E Contractor,2025-07-30,Access & Height,1,827.57,Returned / Completed
ORD-7011,Site-063,Landscaping Contractor,2026-01-13,Fixing,3,3104.05,Dispatched
ORD-7012,Site-115,M&E Contractor,2026-02-02,Groundworks,4,2568.99,Returned / Completed
ORD-7013,Site-170,Landscaping Contractor,2026-04-28,Demolition,4,4965.07,Quote Requested
ORD-7014,Site-087,Self-Employed Trade,2026-04-14,Landscaping,4,6128.02,Returned / Completed
ORD-7015,Site-093,Main Contractor,2025-09-01,Logistics,3,3832.7,Returned / Completed
ORD-7016,Site-048,Landscaping Contractor,2026-06-05,Logistics,2,2730.6,Quote Requested
ORD-7017,Site-069,M&E Contractor,2025-11-05,Demolition,2,1360.86,Returned / Completed
ORD-7018,Site-024,Demolition Specialist,2026-06-24,Fixing,2,2729.87,Returned / Completed
ORD-7019,Site-099,Facilities Management,2025-09-03,Logistics,2,2647.67,Returned / Completed
ORD-7020,Site-058,Groundworks Sub-contractor,2025-12-02,Site Setup,4,3511.57,Returned / Completed
ORD-7021,Site-153,M&E Contractor,2026-02-23,Logistics,2,1435.14,Quote Requested
ORD-7022,Site-003,Main Contractor,2025-07-23,Groundworks,2,857.12,Returned / Completed
ORD-7023,Site-121,Demolition Specialist,2026-01-08,Groundworks,2,1637.02,Returned / Completed
ORD-7024,Site-059,Groundworks Sub-contractor,2025-09-20,Finishing,2,1711.12,Returned / Completed
ORD-7025,Site-020,Facilities Management,2025-08-06,Access & Height,1,1544.07,Returned / Completed
ORD-7026,Site-092,Demolition Specialist,2026-03-24,Fixing,4,3481.86,Returned / Completed
ORD-7027,Site-141,Self-Employed Trade,2026-05-29,Fixing,3,3521.39,Returned / Completed
ORD-7028,Site-091,Demolition Specialist,2026-04-11,Landscaping,4,5676.51,Returned / Completed
ORD-7029,Site-174,Self-Employed Trade,2026-02-14,Demolition,2,3663.03,Returned / Completed
ORD-7030,Site-008,M&E Contractor,2026-01-01,Groundworks,4,6634.36,Returned / Completed
ORD-7031,Site-084,Facilities Management,2025-10-25,Groundworks,3,3005.94,Returned / Completed
ORD-7032,Site-100,Groundworks Sub-contractor,2025-08-11,Groundworks,3,2902.33,Returned / Completed
ORD-7033,Site-101,Facilities Management,2026-02-18,Access & Height,3,4302.86,Returned / Completed
ORD-7034,Site-063,Demolition Specialist,2025-12-08,Access & Height,3,4484.54,Quote Approved
ORD-7035,Site-148,M&E Contractor,2026-06-29,Demolition,2,1406.98,Returned / Completed
ORD-7036,Site-148,Facilities Management,2026-04-04,Landscaping,2,1332.95,Returned / Completed
ORD-7037,Site-149,Self-Employed Trade,2026-06-29,Landscaping,2,2270.43,Quote Requested
ORD-7038,Site-082,Main Contractor,2025-09-14,Fixing,3,1688.97,Quote Requested
ORD-7039,Site-057,M&E Contractor,2025-10-21,Finishing,3,3754.36,Quote Approved
ORD-7040,Site-180,Main Contractor,2026-07-13,Groundworks,2,2206.07,Returned / Completed
ORD-7041,Site-036,Landscaping Contractor,2026-01-25,Logistics,3,1632.04,Quote Requested
ORD-7042,Site-180,Groundworks Sub-contractor,2026-03-31,Finishing,2,2387.17,Returned / Completed
ORD-7043,Site-101,Main Contractor,2026-04-29,Groundworks,4,5748.52,Returned / Completed
ORD-7044,Site-115,Facilities Management,2025-07-22,Access & Height,2,3782.95,Returned / Completed
ORD-7045,Site-114,Main Contractor,2025-08-09,Landscaping,3,2645.63,Returned / Completed
ORD-7046,Site-160,M&E Contractor,2025-11-16,Site Setup,2,1600.76,Returned / Completed
ORD-7047,Site-132,Landscaping Contractor,2025-09-24,Demolition,2,1393.39,Returned / Completed
ORD-7048,Site-108,Main Contractor,2026-06-05,Landscaping,3,2733.84,Quote Requested
ORD-7049,Site-071,Facilities Management,2026-02-07,Logistics,1,1448.45,Returned / Completed
ORD-7050,Site-002,Groundworks Sub-contractor,2025-10-19,Site Setup,3,3023.46,Quote Approved
ORD-7051,Site-103,Demolition Specialist,2025-10-10,Finishing,3,3192.17,On Hire
ORD-7052,Site-179,Self-Employed Trade,2026-05-16,Logistics,2,2049.84,Returned / Completed
ORD-7053,Site-021,Demolition Specialist,2026-06-05,Fixing,3,3277.1,Returned / Completed
ORD-7054,Site-099,Self-Employed Trade,2025-09-16,Fixing,1,1232.3,Returned / Completed
ORD-7055,Site-134,Self-Employed Trade,2025-12-28,Groundworks,4,5211.51,Returned / Completed
ORD-7056,Site-157,Landscaping Contractor,2026-02-01,Access & Height,3,3338.6,Returned / Completed
ORD-7057,Site-071,Self-Employed Trade,2026-05-20,Demolition,2,2470.69,Quote Approved
ORD-7058,Site-146,Self-Employed Trade,2026-07-15,Logistics,2,2737.37,Dispatched
ORD-7059,Site-108,M&E Contractor,2025-12-24,Finishing,2,2746.17,Returned / Completed
ORD-7060,Site-170,Landscaping Contractor,2025-11-21,Access & Height,2,1516.32,Returned / Completed
ORD-7061,Site-040,Demolition Specialist,2026-05-30,Landscaping,2,1637.42,Returned / Completed
ORD-7062,Site-038,Facilities Management,2026-04-10,Access & Height,3,3873.81,Returned / Completed
ORD-7063,Site-166,Facilities Management,2025-11-09,Access & Height,2,3103.47,Quote Approved
ORD-7064,Site-139,Groundworks Sub-contractor,2025-07-29,Finishing,3,3037.6,Returned / Completed
ORD-7065,Site-108,M&E Contractor,2025-08-22,Landscaping,3,3071.17,Returned / Completed
ORD-7066,Site-126,Main Contractor,2026-05-25,Logistics,2,2142.73,Returned / Completed
ORD-7067,Site-125,Self-Employed Trade,2026-06-22,Site Setup,2,2468.63,Returned / Completed
ORD-7068,Site-094,Landscaping Contractor,2025-07-17,Demolition,2,2369.76,Returned / Completed
ORD-7069,Site-013,Self-Employed Trade,2026-02-26,Site Setup,2,3175.77,Quote Requested
ORD-7070,Site-086,M&E Contractor,2026-01-14,Access & Height,1,1642.55,Returned / Completed
ORD-7071,Site-077,Main Contractor,2025-08-05,Finishing,3,3202.21,Returned / Completed
ORD-7072,Site-077,Facilities Management,2026-05-18,Landscaping,3,3423.93,Quote Requested
ORD-7073,Site-061,Self-Employed Trade,2025-08-07,Access & Height,4,3231.14,Returned / Completed
ORD-7074,Site-112,M&E Contractor,2025-09-14,Groundworks,2,2885.83,Returned / Completed
ORD-7075,Site-151,Main Contractor,2025-10-01,Fixing,1,707.41,Returned / Completed
ORD-7076,Site-166,Main Contractor,2025-12-16,Landscaping,2,2026.12,Returned / Completed
ORD-7077,Site-115,Demolition Specialist,2026-01-29,Access & Height,2,2751.22,Returned / Completed
ORD-7078,Site-090,Main Contractor,2025-09-12,Groundworks,2,1446.12,Returned / Completed
ORD-7079,Site-011,Landscaping Contractor,2025-09-05,Landscaping,2,1487.82,Returned / Completed
ORD-7080,Site-179,M&E Contractor,2025-10-07,Access & Height,3,4971.24,Returned / Completed
ORD-7081,Site-131,Landscaping Contractor,2026-02-23,Groundworks,4,4979.89,On Hire
ORD-7082,Site-025,Main Contractor,2025-12-22,Landscaping,2,2822.26,Returned / Completed
ORD-7083,Site-006,Self-Employed Trade,2025-08-21,Demolition,2,3833.8,Returned / Completed
ORD-7084,Site-147,Self-Employed Trade,2025-10-09,Landscaping,2,1692.44,Returned / Completed
ORD-7085,Site-041,M&E Contractor,2025-10-06,Fixing,3,3649.57,Returned / Completed
ORD-7086,Site-103,Groundworks Sub-contractor,2026-03-07,Site Setup,3,4182.99,Returned / Completed
ORD-7087,Site-060,Facilities Management,2026-04-05,Demolition,3,2771.38,Quote Requested
ORD-7088,Site-101,Demolition Specialist,2025-12-21,Demolition,4,5431.37,On Hire
ORD-7089,Site-075,M&E Contractor,2026-05-18,Landscaping,3,1539.4,Quote Requested
ORD-7090,Site-022,Facilities Management,2026-03-01,Landscaping,2,2485.65,Returned / Completed
ORD-7091,Site-137,M&E Contractor,2026-01-12,Logistics,2,2540.58,Returned / Completed
ORD-7092,Site-150,Facilities Management,2025-12-29,Groundworks,2,1718.89,Returned / Completed
ORD-7093,Site-160,Self-Employed Trade,2026-04-13,Landscaping,1,1119.05,Returned / Completed
ORD-7094,Site-147,Landscaping Contractor,2026-03-23,Landscaping,2,2663.99,Quote Requested
ORD-7095,Site-155,Self-Employed Trade,2026-01-15,Groundworks,2,1094.24,Returned / Completed
ORD-7096,Site-141,Main Contractor,2026-02-01,Finishing,1,477.77,Returned / Completed
ORD-7097,Site-058,Self-Employed Trade,2025-09-22,Fixing,1,874.68,Returned / Completed
ORD-7098,Site-154,Landscaping Contractor,2025-09-16,Landscaping,3,3175.51,Returned / Completed
ORD-7099,Site-154,M&E Contractor,2025-07-22,Access & Height,2,2037.1,Returned / Completed
ORD-7100,Site-153,Self-Employed Trade,2025-08-18,Logistics,2,662.8,Returned / Completed
ORD-7101,Site-076,Main Contractor,2026-02-08,Logistics,2,3376.69,Returned / Completed
ORD-7102,Site-038,Facilities Management,2025-11-26,Groundworks,4,5223.43,Returned / Completed
ORD-7103,Site-035,Self-Employed Trade,2025-10-08,Site Setup,2,1704.62,Returned / Completed
ORD-7104,Site-072,M&E Contractor,2025-11-25,Demolition,4,4630.14,Returned / Completed
ORD-7105,Site-121,Self-Employed Trade,2026-04-02,Landscaping,1,1629.0,Returned / Completed
ORD-7106,Site-083,Landscaping Contractor,2026-05-14,Logistics,2,1256.81,Returned / Completed
ORD-7107,Site-095,Demolition Specialist,2025-09-15,Fixing,2,2556.96,Returned / Completed
ORD-7108,Site-121,Facilities Management,2025-09-17,Finishing,3,4788.95,On Hire
ORD-7109,Site-096,Landscaping Contractor,2026-04-04,Groundworks,4,5384.96,Returned / Completed
ORD-7110,Site-154,Self-Employed Trade,2026-04-06,Finishing,3,2049.43,Quote Requested
ORD-7111,Site-139,Demolition Specialist,2026-05-17,Access & Height,2,1282.69,Returned / Completed
ORD-7112,Site-065,M&E Contractor,2026-03-26,Groundworks,3,4153.62,Returned / Completed
