stock_code,category,subcategory,product_name,brand,depot,purchase_date,capex_gbp,book_value_gbp,age_years,condition,status,utilisation_pct_ytd,day_rate_gbp,last_service_date,next_service_due,min_stock_level,current_units_at_depot
B&D-01316,Breakers & Drills,Pneumatic Breakers,Hand Scabbler,City Hire Fleet,London North,2022-05-24,661.75,113.13,4.15,Excellent,Available,82.1,6.83,2026-04-17,2026-10-14,3,1
B&D-01317,Breakers & Drills,Pneumatic Breakers,Hand Scabbler,City Hire Fleet,Birmingham,2026-01-11,2038.11,1831.51,0.51,Excellent,On Hire,67.2,21.88,2025-12-28,2026-06-26,3,1
B&D-01318,Breakers & Drills,Pneumatic Breakers,Heavy Air Breaker,City Hire Fleet,Manchester,2023-09-15,1447.73,627.48,2.83,Excellent,On Hire,28.4,20.06,2026-04-09,2026-10-06,2,1
B&D-01319,Breakers & Drills,Pneumatic Breakers,Heavy Air Breaker,City Hire Fleet,Birmingham,2024-04-28,699.89,390.02,2.21,Excellent,Available,44.6,10.58,2026-06-23,2026-12-20,2,1
B&D-01320,Breakers & Drills,Pneumatic Breakers,Heavy Air Breaker,City Hire Fleet,London North,2022-11-25,1059.95,288.65,3.64,Excellent,On Hire,46.0,18.47,2026-04-13,2026-10-10,2,1
B&D-01321,Breakers & Drills,Pneumatic Breakers,Heavy Air Breaker,City Hire Fleet,Bristol,2023-12-18,2139.57,1037.54,2.58,Good,On Hire,62.1,25.85,2026-03-22,2026-09-18,2,1
B&D-01322,Breakers & Drills,Pneumatic Breakers,Heavy Air Breaker,City Hire Fleet,Bristol,2026-04-23,720.5,687.73,0.23,Fair,On Hire,70.4,11.99,2026-02-12,2026-08-11,2,1
B&D-01323,Breakers & Drills,Pneumatic Breakers,Heavy Air Breaker,City Hire Fleet,Bristol,2026-05-21,1782.2,1728.49,0.15,Good,Workshop,58.5,26.47,2026-05-13,2026-11-09,2,1
B&D-01324,Breakers & Drills,Pneumatic Breakers,Heavy Air Breaker,City Hire Fleet,London South,2025-07-03,978.91,776.69,1.03,Excellent,On Hire,66.8,12.09,2026-03-10,2026-09-06,2,1
B&D-01325,Breakers & Drills,Pneumatic Breakers,Heavy Air Breaker,City Hire Fleet,Leeds,2024-02-04,1823.7,932.34,2.44,Good,Auction Pending,65.7,25.84,2026-01-11,2026-07-10,2,1
B&D-01326,Breakers & Drills,Pneumatic Breakers,Heavy Air Breaker,City Hire Fleet,Birmingham,2023-11-21,811.6,381.56,2.65,Fair,On Hire,50.0,9.58,2026-04-04,2026-10-01,2,1
B&D-01327,Breakers & Drills,Pneumatic Breakers,Light Air Breaker,City Hire Fleet,Birmingham,2023-12-27,2007.37,983.34,2.55,Excellent,Auction Pending,74.1,35.07,2026-06-10,2026-12-07,1,1
B&D-01328,Breakers & Drills,Pneumatic Breakers,Light Air Breaker,City Hire Fleet,Birmingham,2025-04-30,2764.8,2096.7,1.21,Excellent,On Hire,37.6,41.33,2026-04-04,2026-10-01,1,1
B&D-01329,Breakers & Drills,Pneumatic Breakers,Light Air Breaker,City Hire Fleet,Manchester,2023-09-14,5330.76,2307.56,2.84,Good,On Hire,65.5,92.33,2025-12-25,2026-06-23,1,1
B&D-01330,Breakers & Drills,Pneumatic Breakers,Light Air Breaker,City Hire Fleet,Bristol,2025-05-02,3359.19,2551.14,1.2,Excellent,On Hire,50.8,51.3,2026-01-21,2026-07-20,1,1
B&D-01331,Breakers & Drills,Pneumatic Breakers,Light Air Breaker,City Hire Fleet,Manchester,2022-06-26,1350.65,255.33,4.05,Good,On Hire,70.8,12.69,2025-12-09,2026-06-07,1,1
B&D-01332,Breakers & Drills,Pneumatic Breakers,Light Air Breaker,City Hire Fleet,Manchester,2024-10-03,1520.61,979.02,1.78,Fair,Available,37.8,13.29,2026-01-12,2026-07-11,1,1
B&D-01333,Breakers & Drills,Pneumatic Breakers,Light Air Breaker,City Hire Fleet,Manchester,2023-02-07,2765.98,865.41,3.44,Good,Workshop,49.5,44.0,2026-01-18,2026-07-17,1,1
B&D-01334,Breakers & Drills,Pneumatic Breakers,Medium Air Breaker,City Hire Fleet,London North,2022-07-10,4951.38,974.0,4.02,Excellent,On Hire,72.7,51.9,2026-02-01,2026-07-31,1,1
B&D-01335,Breakers & Drills,Pneumatic Breakers,Medium Air Breaker,City Hire Fleet,Leeds,2022-09-23,2113.8,502.68,3.81,Good,Auction Pending,60.5,32.82,2026-01-22,2026-07-21,1,1
B&D-01336,Breakers & Drills,Pneumatic Breakers,Medium Air Breaker,City Hire Fleet,London South,2021-12-28,2509.89,250.99,4.55,Good,On Hire,59.6,33.1,2026-05-09,2026-11-05,1,1
B&D-01337,Breakers & Drills,Pneumatic Breakers,Medium Air Breaker,City Hire Fleet,Bristol,2023-03-15,3860.24,1283.93,3.34,Good,On Hire,65.5,36.7,2026-01-22,2026-07-21,1,1
B&D-01338,Breakers & Drills,Pneumatic Breakers,Medium Air Breaker,City Hire Fleet,London North,2026-04-26,2784.55,2662.49,0.22,Fair,On Hire,76.3,42.61,2026-06-23,2026-12-20,1,1
B&D-01339,Breakers & Drills,Pneumatic Breakers,Medium Air Breaker,City Hire Fleet,London North,2024-07-02,1887.42,1119.01,2.04,Good,On Hire,53.8,28.25,2026-03-15,2026-09-11,1,1
B&D-01340,Breakers & Drills,Pneumatic Breakers,Medium Air Breaker,City Hire Fleet,London North,2024-08-31,602.67,377.12,1.87,Excellent,On Hire,65.6,6.89,2026-01-14,2026-07-13,1,1
B&D-01341,Breakers & Drills,Core Drills,Heavy Duty Diamond Core Drill,City Hire Fleet,London South,2022-08-29,4450.26,997.35,3.88,Excellent,On Hire,83.8,54.58,2026-02-23,2026-08-22,1,1
B&D-01342,Breakers & Drills,Core Drills,Heavy Duty Diamond Core Drill,City Hire Fleet,London South,2023-11-12,1467.24,682.57,2.67,Good,On Hire,53.2,18.08,2026-05-28,2026-11-24,1,1
B&D-01343,Breakers & Drills,Core Drills,Heavy Duty Diamond Core Drill,City Hire Fleet,Leeds,2026-04-17,4121.29,3920.31,0.24,Excellent,On Hire,74.4,44.44,2026-07-13,2027-01-09,1,1
B&D-01344,Breakers & Drills,Core Drills,Hilti DD110 Diamond Core Drill,Hilti,Bristol,2021-12-02,4429.04,442.9,4.62,Excellent,On Hire,52.7,49.87,2025-12-22,2026-06-20,3,1
B&D-01345,Breakers & Drills,Core Drills,Hilti DD110 Diamond Core Drill,Hilti,Bristol,2023-11-21,848.26,398.8,2.65,Good,Auction Pending,55.2,10.12,2026-04-25,2026-10-22,3,1
B&D-01346,Breakers & Drills,Core Drills,Hilti DD110 Diamond Core Drill,Hilti,London South,2025-10-25,2076.6,1777.34,0.72,Fair,Workshop,48.7,31.27,2026-02-06,2026-08-05,3,1
B&D-01347,Breakers & Drills,Core Drills,Hilti DD110 Diamond Core Drill,Hilti,Birmingham,2024-10-14,5073.08,3296.81,1.75,Excellent,On Hire,45.4,59.52,2026-05-14,2026-11-10,3,1
B&D-01348,Breakers & Drills,Core Drills,Hilti DD110 Diamond Core Drill,Hilti,Bristol,2025-08-30,2931.83,2419.36,0.87,Good,On Hire,51.8,28.9,2026-06-09,2026-12-06,3,1
B&D-01349,Breakers & Drills,Core Drills,Hilti DD110 Diamond Core Drill,Hilti,Manchester,2022-11-22,3071.24,831.34,3.65,Excellent,On Hire,91.3,30.32,2026-06-02,2026-11-29,3,1
B&D-01350,Breakers & Drills,Core Drills,Hilti DD110 Diamond Core Drill,Hilti,London North,2021-09-25,2617.76,261.78,4.81,Good,On Hire,47.3,26.05,2026-04-14,2026-10-11,3,1
B&D-01351,Breakers & Drills,Core Drills,Hilti DD110 Diamond Core Drill,Hilti,Leeds,2024-04-20,5310.1,2935.83,2.24,Fair,Available,46.6,68.43,2026-03-30,2026-09-26,3,1
B&D-01352,Breakers & Drills,Core Drills,Hilti DD110 Diamond Core Drill,Hilti,Birmingham,2025-12-28,3218.34,2867.41,0.55,Excellent,Available,62.4,32.98,2026-05-19,2026-11-15,3,1
B&D-01353,Breakers & Drills,Core Drills,Hilti DD110 Diamond Core Drill,Hilti,Bristol,2024-11-01,1133.1,747.54,1.7,Excellent,Available,40.8,10.36,2026-02-24,2026-08-23,3,1
B&D-01354,Breakers & Drills,Core Drills,Hilti DD110 Diamond Core Drill,Hilti,London North,2022-02-09,3101.31,353.46,4.43,Fair,Auction Pending,69.1,38.5,2026-02-26,2026-08-25,3,1
B&D-01355,Breakers & Drills,Core Drills,Hilti DD110 Diamond Core Drill,Hilti,London North,2025-03-25,5446.32,4022.82,1.31,Good,Available,84.1,62.56,2026-04-29,2026-10-26,3,1
B&D-01356,Breakers & Drills,Core Drills,Hilti DD110 Diamond Core Drill,Hilti,London South,2021-11-16,706.66,70.67,4.66,Excellent,Workshop,78.8,10.87,2026-06-14,2026-12-11,3,1
B&D-01357,Breakers & Drills,Core Drills,Dry Diamond Core Drill,City Hire Fleet,London South,2024-06-27,4770.51,2815.25,2.05,Fair,On Hire,51.6,76.59,2025-12-26,2026-06-24,3,1
B&D-01358,Breakers & Drills,Core Drills,Dry Diamond Core Drill,City Hire Fleet,London South,2023-04-05,2091.78,719.8,3.28,Excellent,On Hire,53.5,31.46,2026-02-27,2026-08-26,3,1
B&D-01359,Breakers & Drills,Core Drills,Dry Diamond Core Drill,City Hire Fleet,London North,2024-10-31,3256.86,2146.85,1.7,Excellent,Workshop,79.1,50.48,2025-12-18,2026-06-16,3,1
B&D-01360,Breakers & Drills,Core Drills,Dry Diamond Core Drill,City Hire Fleet,London South,2024-02-24,5073.54,2649.36,2.39,Good,Auction Pending,58.0,47.32,2026-01-28,2026-07-27,3,1
B&D-01361,Breakers & Drills,Core Drills,Dry Diamond Core Drill,City Hire Fleet,London South,2025-08-20,3984.82,3266.46,0.9,Good,Available,74.2,42.59,2026-03-11,2026-09-07,3,1
B&D-01362,Breakers & Drills,Core Drills,Dry Diamond Core Drill,City Hire Fleet,London North,2024-02-18,2219.65,1151.79,2.41,Good,On Hire,42.1,34.4,2025-12-23,2026-06-21,3,1
B&D-01363,Breakers & Drills,Core Drills,Dry Diamond Core Drill,City Hire Fleet,Leeds,2022-07-24,5165.76,1055.8,3.98,Excellent,On Hire,39.7,91.55,2026-07-14,2027-01-10,3,1
B&D-01364,Breakers & Drills,Core Drills,Dry Diamond Core Drill,City Hire Fleet,Bristol,2022-11-23,3736.76,1013.53,3.64,Good,On Hire,88.1,66.07,2026-06-28,2026-12-25,3,1
B&D-01365,Breakers & Drills,Core Drills,Dry Diamond Core Drill,City Hire Fleet,London South,2021-10-30,1362.22,136.22,4.71,Good,On Hire,59.9,17.51,2026-02-17,2026-08-16,3,1
B&D-01366,Breakers & Drills,Core Drills,Dry Diamond Core Drill,City Hire Fleet,London North,2024-07-12,4944.31,2958.46,2.01,Good,Available,89.1,80.92,2026-07-03,2026-12-30,3,1
B&D-01367,Breakers & Drills,Core Drills,Dry Diamond Core Drill,City Hire Fleet,London South,2026-05-13,902.25,871.1,0.17,Needs Assessment,On Hire,72.5,15.42,2026-03-27,2026-09-23,3,1
B&D-01368,Breakers & Drills,Core Drills,Dry Diamond Core Drill,City Hire Fleet,London North,2022-10-23,1834.79,466.49,3.73,Good,Workshop,51.2,19.27,2026-05-05,2026-11-01,3,1
B&D-01369,Breakers & Drills,Core Drills,Dry Diamond Core Drill,City Hire Fleet,Leeds,2024-05-15,3738.67,2118.24,2.17,Fair,Available,60.3,45.96,2026-01-10,2026-07-09,3,1
B&D-01370,Breakers & Drills,Core Drills,Medium Diamond Core Drill,City Hire Fleet,London South,2022-07-05,749.71,145.42,4.03,Good,On Hire,59.3,9.89,2026-06-25,2026-12-22,1,1
B&D-01371,Breakers & Drills,Core Drills,Medium Diamond Core Drill,City Hire Fleet,Leeds,2023-12-17,298.76,144.71,2.58,Excellent,Auction Pending,54.3,2.6,2026-03-28,2026-09-24,1,1
B&D-01372,Breakers & Drills,Core Drills,Medium Diamond Core Drill,City Hire Fleet,Birmingham,2024-04-22,718.99,398.3,2.23,Good,Workshop,38.7,7.9,2026-06-18,2026-12-15,1,1
B&D-01373,Breakers & Drills,Breaking,Hilti TE 3000-AVR Heavy Breaker,Hilti,Bristol,2022-02-12,4520.18,522.61,4.42,Good,Available,77.1,63.75,2026-06-27,2026-12-24,2,1
B&D-01374,Breakers & Drills,Breaking,Hilti TE 3000-AVR Heavy Breaker,Hilti,Leeds,2025-07-14,2560.52,2047.01,1.0,Excellent,Available,48.8,31.03,2026-02-04,2026-08-03,2,1
B&D-01375,Breakers & Drills,Breaking,Hilti TE 3000-AVR Heavy Breaker,Hilti,Bristol,2022-08-09,2572.52,548.33,3.93,Good,On Hire,69.1,29.62,2026-06-13,2026-12-10,2,1
B&D-01376,Breakers & Drills,Breaking,Hilti TE 3000-AVR Heavy Breaker,Hilti,Leeds,2024-01-18,1901.14,954.22,2.49,Excellent,On Hire,92.2,25.73,2026-05-05,2026-11-01,2,1
B&D-01377,Breakers & Drills,Breaking,Hilti TE 3000-AVR Heavy Breaker,Hilti,Leeds,2023-02-03,4036.19,1253.98,3.45,Fair,On Hire,55.7,40.58,2025-12-10,2026-06-08,2,1
B&D-01378,Breakers & Drills,Breaking,Hilti TE 3000-AVR Heavy Breaker,Hilti,Leeds,2023-01-20,2924.99,886.31,3.48,Excellent,Available,95.5,49.66,2026-04-30,2026-10-27,2,1
B&D-01379,Breakers & Drills,Breaking,Hilti TE 3000-AVR Heavy Breaker,Hilti,London North,2025-02-10,2848.16,2036.63,1.42,Needs Assessment,On Hire,75.5,49.38,2026-03-01,2026-08-28,2,1
B&D-01380,Breakers & Drills,Breaking,Hilti TE 3000-AVR Heavy Breaker,Hilti,Birmingham,2025-09-18,2280.9,1905.96,0.82,Good,Workshop,73.7,22.19,2026-03-29,2026-09-25,2,1
B&D-01381,Breakers & Drills,Breaking,110V Makita Heavy Breaker,Makita,Manchester,2022-02-19,633.21,75.64,4.4,Good,On Hire,61.0,9.05,2026-06-29,2026-12-26,2,1
B&D-01382,Breakers & Drills,Breaking,110V Makita Heavy Breaker,Makita,London North,2023-08-24,4277.33,1802.34,2.89,Good,On Hire,61.8,57.22,2026-04-03,2026-09-30,2,1
B&D-01383,Breakers & Drills,Breaking,110V Makita Heavy Breaker,Makita,London South,2025-08-07,1706.71,1386.88,0.94,Good,On Hire,56.8,20.32,2025-12-20,2026-06-18,2,1
B&D-01384,Breakers & Drills,Breaking,110V Makita Heavy Breaker,Makita,London North,2022-11-24,4256.93,1156.95,3.64,Excellent,Available,78.6,52.68,2026-01-31,2026-07-30,2,1
B&D-01385,Breakers & Drills,Breaking,110V Makita Heavy Breaker,Makita,Bristol,2021-09-16,1502.85,150.28,4.83,Excellent,On Hire,64.1,22.03,2026-02-08,2026-08-07,2,1
B&D-01386,Breakers & Drills,Breaking,110V Makita Heavy Breaker,Makita,London South,2022-10-07,4138.46,1015.91,3.77,Good,On Hire,94.8,39.89,2026-01-14,2026-07-13,2,1
B&D-01387,Breakers & Drills,Breaking,110V Makita Heavy Breaker,Makita,Leeds,2024-07-05,2995.78,1781.05,2.03,Fair,On Hire,67.6,32.02,2026-06-12,2026-12-09,2,1
B&D-01388,Breakers & Drills,Breaking,110V Makita Heavy Breaker,Makita,Manchester,2025-10-17,4300.01,3661.49,0.74,Excellent,On Hire,41.1,37.15,2025-12-20,2026-06-18,2,1
B&D-01389,Breakers & Drills,Breaking,110V Makita Heavy Breaker,Makita,Manchester,2022-06-18,5369.02,991.43,4.08,Fair,On Hire,51.6,51.91,2026-06-30,2026-12-27,2,1
B&D-01390,Breakers & Drills,Breaking,110V Makita Medium Breaker,Makita,Leeds,2025-01-09,4309.98,3006.36,1.51,Excellent,Workshop,51.2,66.41,2026-01-23,2026-07-22,1,1
B&D-01391,Breakers & Drills,Breaking,110V Makita Medium Breaker,Makita,London South,2026-06-10,481.2,471.97,0.1,Excellent,On Hire,69.8,8.47,2026-04-07,2026-10-04,1,1
B&D-01392,Breakers & Drills,Breaking,110V Makita Medium Breaker,Makita,Leeds,2026-04-04,3152.54,2976.34,0.28,Good,Workshop,55.0,35.37,2026-01-06,2026-07-05,1,1
B&D-01393,Breakers & Drills,Breaking,110V Makita Medium Breaker,Makita,Bristol,2024-02-14,5058.24,2613.65,2.42,Good,On Hire,51.9,43.13,2026-06-14,2026-12-11,1,1
B&D-01394,Breakers & Drills,Breaking,Medium Breaker (Hilti TE-1000),Hilti,London North,2021-12-11,2957.81,295.78,4.59,Fair,On Hire,86.7,49.28,2026-04-03,2026-09-30,1,1
B&D-01395,Breakers & Drills,Breaking,Medium Breaker (Hilti TE-1000),Hilti,Birmingham,2022-02-12,4685.44,541.71,4.42,Good,On Hire,54.7,51.72,2026-05-24,2026-11-20,1,1
B&D-01396,Breakers & Drills,Breaking,Medium Breaker (Hilti TE-1000),Hilti,London South,2022-12-18,1523.57,434.11,3.58,Good,On Hire,78.7,20.52,2026-03-10,2026-09-06,1,1
B&D-01397,Breakers & Drills,Breaking,Medium Breaker (Hilti TE-1000),Hilti,Leeds,2021-12-28,1536.92,153.69,4.55,Fair,On Hire,77.4,25.78,2026-04-17,2026-10-14,1,1
B&D-01398,Breakers & Drills,Breaking,Medium Breaker (Hilti TE-1000),Hilti,Leeds,2024-07-29,257.68,156.58,1.96,Good,Available,63.6,2.33,2025-12-09,2026-06-07,1,1
B&D-01399,Breakers & Drills,Breaking,Hydraulic Breaker,City Hire Fleet,London North,2025-02-13,2454.03,1758.83,1.42,Excellent,On Hire,98,25.31,2026-05-04,2026-10-31,2,1
B&D-01400,Breakers & Drills,Breaking,Hydraulic Breaker,City Hire Fleet,Manchester,2021-09-18,2978.74,297.87,4.82,Needs Assessment,Available,53.9,26.36,2026-04-10,2026-10-07,2,1
B&D-01401,Breakers & Drills,Breaking,Hydraulic Breaker,City Hire Fleet,Manchester,2025-12-02,2903.5,2545.53,0.62,Good,On Hire,53.9,27.02,2026-06-29,2026-12-26,2,1
B&D-01402,Breakers & Drills,Breaking,Hydraulic Breaker,City Hire Fleet,Manchester,2024-10-26,1620.2,1063.56,1.72,Good,On Hire,52.4,24.88,2025-12-21,2026-06-19,2,1
B&D-01403,Breakers & Drills,Breaking,Hydraulic Breaker,City Hire Fleet,Bristol,2024-09-02,2626.98,1646.72,1.87,Excellent,On Hire,66.5,23.79,2025-12-29,2026-06-27,2,1
B&D-01404,Breakers & Drills,Breaking,Hydraulic Breaker,City Hire Fleet,Birmingham,2023-12-08,2696.79,1292.98,2.6,Needs Assessment,On Hire,96.4,27.17,2026-02-27,2026-08-26,2,1
B&D-01405,Breakers & Drills,Breaking,Hydraulic Breaker,City Hire Fleet,Leeds,2024-09-22,2682.57,1710.97,1.81,Good,Workshop,66.7,22.54,2026-04-28,2026-10-25,2,1
B&D-01406,Breakers & Drills,Breaking,Hydraulic Breaker,City Hire Fleet,London South,2021-10-08,4747.01,474.7,4.77,Needs Assessment,On Hire,58.1,56.79,2026-01-13,2026-07-12,2,1
B&D-01407,Breakers & Drills,Breaking,Hydraulic Breaker,City Hire Fleet,Manchester,2026-03-07,3805.21,3534.15,0.36,Good,On Hire,60.3,51.37,2026-04-02,2026-09-29,2,1
B&D-01408,Breakers & Drills,Breaking,Hydraulic Breaker,City Hire Fleet,London North,2025-12-04,2675.73,2348.78,0.61,Excellent,Workshop,98,43.62,2026-06-09,2026-12-06,2,1
B&D-01409,Breakers & Drills,Breaking,Darda Concrete Splitter,City Hire Fleet,Bristol,2025-09-21,1290.2,1080.23,0.81,Good,Auction Pending,45.7,22.16,2026-06-23,2026-12-20,1,1
B&D-01410,Breakers & Drills,Breaking,Darda Concrete Splitter,City Hire Fleet,Manchester,2026-01-13,364.45,327.91,0.5,Fair,On Hire,75.5,3.25,2026-01-30,2026-07-29,1,1
B&D-01411,Breakers & Drills,Breaking,Darda Concrete Splitter,City Hire Fleet,Bristol,2021-09-14,4604.12,460.41,4.84,Good,On Hire,61.0,70.19,2026-06-01,2026-11-28,1,1
B&D-01412,Breakers & Drills,Breaking,Darda Concrete Splitter,City Hire Fleet,Birmingham,2023-09-03,404.78,172.78,2.87,Excellent,Available,66.6,4.0,2026-05-31,2026-11-27,1,1
B&D-01413,Breakers & Drills,Breaking,Darda Concrete Splitter,City Hire Fleet,Birmingham,2024-11-19,2591.56,1735.28,1.65,Good,On Hire,74.5,43.61,2026-01-30,2026-07-29,1,1
B&D-01414,Breakers & Drills,Breaking,Hilti TE 2000 AVR Medium Breaker,Hilti,London South,2026-02-11,710.54,650.58,0.42,Good,On Hire,78.5,11.35,2026-03-29,2026-09-25,2,1
B&D-01415,Breakers & Drills,Breaking,Hilti TE 2000 AVR Medium Breaker,Hilti,Leeds,2025-01-21,3561.46,2507.66,1.48,Good,Auction Pending,71.0,47.88,2025-12-26,2026-06-24,2,1
B&D-01416,Breakers & Drills,Breaking,Hilti TE 2000 AVR Medium Breaker,Hilti,Manchester,2023-09-27,2056.18,904.72,2.8,Excellent,On Hire,39.4,16.99,2026-04-23,2026-10-20,2,1
B&D-01417,Breakers & Drills,Breaking,Hilti TE 2000 AVR Medium Breaker,Hilti,Bristol,2023-02-09,1399.86,439.52,3.43,Good,On Hire,82.3,19.37,2026-03-16,2026-09-12,2,1
B&D-01418,Breakers & Drills,Breaking,Hilti TE 2000 AVR Medium Breaker,Hilti,London South,2025-02-24,5363.39,3876.34,1.39,Excellent,On Hire,48.2,86.69,2026-01-27,2026-07-26,2,1
B&D-01419,Breakers & Drills,Breaking,Hilti TE 2000 AVR Medium Breaker,Hilti,Manchester,2022-04-28,543.52,85.18,4.22,Good,Workshop,72.9,8.91,2025-12-22,2026-06-20,2,1
B&D-01420,Breakers & Drills,Breaking,Hilti TE 2000 AVR Medium Breaker,Hilti,Leeds,2021-09-18,1161.99,116.2,4.82,Good,On Hire,62.8,19.92,2026-04-24,2026-10-21,2,1
B&D-01421,Breakers & Drills,Breaking,Hilti TE 2000 AVR Medium Breaker,Hilti,Manchester,2026-04-19,3943.13,3755.16,0.24,Good,On Hire,52.2,38.47,2026-05-27,2026-11-23,2,1
B&D-01422,Breakers & Drills,Breaking,Hilti TE 2000 AVR Medium Breaker,Hilti,London North,2026-03-30,723.85,681.41,0.29,Good,On Hire,77.6,5.8,2026-05-19,2026-11-15,2,1
B&D-01423,Breakers & Drills,Breaking,Petrol Heavy Breaker,City Hire Fleet,London North,2025-04-29,4483.84,3397.89,1.21,Excellent,Workshop,58.3,62.17,2026-04-23,2026-10-20,2,1
B&D-01424,Breakers & Drills,Breaking,Petrol Heavy Breaker,City Hire Fleet,London North,2025-08-29,4315.42,3558.74,0.88,Good,Workshop,70.4,75.17,2026-04-12,2026-10-09,2,1
B&D-01425,Breakers & Drills,Breaking,Petrol Heavy Breaker,City Hire Fleet,Manchester,2024-03-27,3326.59,1795.45,2.3,Fair,Auction Pending,56.6,58.57,2026-01-08,2026-07-07,2,1
B&D-01426,Breakers & Drills,Breaking,Petrol Heavy Breaker,City Hire Fleet,Leeds,2022-10-25,1915.74,489.17,3.72,Fair,Available,73.6,27.08,2026-02-21,2026-08-20,2,1
B&D-01427,Breakers & Drills,Breaking,Petrol Heavy Breaker,City Hire Fleet,Birmingham,2024-06-15,1422.0,829.82,2.08,Excellent,On Hire,55.6,21.74,2026-01-19,2026-07-18,2,1
B&D-01428,Breakers & Drills,Breaking,Petrol Heavy Breaker,City Hire Fleet,Bristol,2022-07-09,5230.67,1026.07,4.02,Excellent,On Hire,58.4,73.35,2025-12-29,2026-06-27,2,1
B&D-01429,Breakers & Drills,Breaking,Petrol Heavy Breaker,City Hire Fleet,Birmingham,2021-12-02,5329.54,532.95,4.62,Good,Auction Pending,66.3,55.32,2026-06-08,2026-12-05,2,1
B&D-01430,Breakers & Drills,Breaking,Petrol Heavy Breaker,City Hire Fleet,Leeds,2024-08-30,1131.41,707.36,1.87,Good,Workshop,80.8,17.3,2026-06-22,2026-12-19,2,1
B&D-01431,Breakers & Drills,Breaking,Petrol Heavy Breaker,City Hire Fleet,London North,2024-07-28,2594.81,1575.37,1.96,Good,On Hire,62.0,22.01,2026-05-10,2026-11-06,2,1
B&D-01432,Breakers & Drills,Breaking,Petrol Heavy Breaker,City Hire Fleet,Manchester,2023-12-31,4096.07,2015.49,2.54,Fair,Auction Pending,73.6,47.16,2026-03-31,2026-09-27,2,1
B&D-01433,Breakers & Drills,Breaking,Petrol Heavy Breaker,City Hire Fleet,London South,2024-05-08,782.5,440.34,2.19,Excellent,Available,35.3,6.84,2026-01-20,2026-07-19,2,1
B&D-01434,Breakers & Drills,Breaking,Light Breaker/Chiseller,City Hire Fleet,London North,2024-10-20,355.41,232.14,1.73,Excellent,On Hire,66.6,6.0,2026-06-18,2026-12-15,1,1
B&D-01435,Breakers & Drills,Breaking,Light Breaker/Chiseller,City Hire Fleet,Bristol,2025-07-21,4092.92,3287.79,0.98,Fair,On Hire,34.4,61.58,2026-02-12,2026-08-11,1,1
B&D-01436,Breakers & Drills,Breaking,Hilti TE 700-AVR Medium Breaker,Hilti,London North,2022-10-16,1116.24,279.52,3.75,Excellent,Workshop,54.3,11.22,2026-06-04,2026-12-01,2,1
B&D-01437,Breakers & Drills,Breaking,Hilti TE 700-AVR Medium Breaker,Hilti,Birmingham,2025-05-22,2398.72,1848.0,1.15,Excellent,On Hire,32.9,21.49,2026-01-26,2026-07-25,2,1
B&D-01438,Breakers & Drills,Breaking,Hilti TE 700-AVR Medium Breaker,Hilti,London North,2024-04-02,3251.79,1765.77,2.28,Good,Workshop,52.4,39.92,2026-06-05,2026-12-02,2,1
B&D-01439,Breakers & Drills,Breaking,Hilti TE 700-AVR Medium Breaker,Hilti,London South,2024-10-20,4575.46,2988.46,1.73,Good,On Hire,51.7,81.31,2026-05-23,2026-11-19,2,1
B&D-01440,Breakers & Drills,Breaking,Hilti TE 700-AVR Medium Breaker,Hilti,Manchester,2023-10-20,4679.79,2118.09,2.74,Good,On Hire,51.7,68.37,2026-04-04,2026-10-01,2,1
B&D-01441,Breakers & Drills,Breaking,Hilti TE 700-AVR Medium Breaker,Hilti,Manchester,2025-12-11,3619.8,3191.37,0.59,Excellent,On Hire,52.7,44.88,2026-05-28,2026-11-24,2,1
B&D-01442,Breakers & Drills,Breaking,Hilti TE 700-AVR Medium Breaker,Hilti,London South,2024-12-23,1437.77,989.5,1.56,Fair,On Hire,71.8,21.1,2026-06-29,2026-12-26,2,1
B&D-01443,Breakers & Drills,Breaking,Hilti TE 700-AVR Medium Breaker,Hilti,Bristol,2025-12-22,3757.74,3335.64,0.56,Excellent,Available,68.2,44.61,2026-05-17,2026-11-13,2,1
B&D-01444,Breakers & Drills,Magnetic Drills,Magnetic Drill,City Hire Fleet,Bristol,2024-02-09,5319.55,2734.1,2.43,Fair,Available,49.5,67.89,2026-03-15,2026-09-11,2,1
B&D-01445,Breakers & Drills,Magnetic Drills,Magnetic Drill,City Hire Fleet,Bristol,2026-01-05,2322.72,2079.63,0.52,Good,On Hire,65.3,32.99,2026-03-04,2026-08-31,2,1
B&D-01446,Breakers & Drills,Magnetic Drills,Magnetic Drill,City Hire Fleet,London South,2025-10-12,5233.59,4442.1,0.76,Fair,On Hire,60.0,48.47,2026-06-02,2026-11-29,2,1
B&D-01447,Breakers & Drills,Magnetic Drills,Magnetic Drill,City Hire Fleet,Bristol,2024-01-30,661.43,336.33,2.46,Excellent,Workshop,59.2,11.32,2026-06-07,2026-12-04,2,1
B&D-01448,Breakers & Drills,Magnetic Drills,Magnetic Drill,City Hire Fleet,Bristol,2021-12-05,601.81,60.18,4.61,Excellent,On Hire,54.4,6.48,2026-04-04,2026-10-01,2,1
