date,depot,category,fleet_units,units_on_hire,units_in_workshop,units_available,utilisation_pct,workshop_pct
2025-08-12,London North,Consumables,4,3,1,0,75.0,25.0
2025-08-12,London North,"Safety, Ventilation & Extraction",1,1,0,0,100.0,0.0
2025-08-12,London North,Propping & Support,1,1,0,0,100.0,0.0
2025-08-12,London North,Lighting,5,4,1,0,80.0,20.0
2025-08-12,London North,Fencing & Barriers,2,1,0,1,50.0,0.0
2025-08-12,London North,Fixing & Fastening,7,5,2,0,71.4,28.6
2025-08-12,London North,Concreting & Compaction,3,2,1,0,66.7,33.3
2025-08-12,London North,Fuel & Gas,1,1,0,0,100.0,0.0
2025-08-12,London North,Survey & Location,5,2,1,2,40.0,20.0
2025-08-12,London North,Site Equipment & Groundworks,4,3,1,0,75.0,25.0
2025-08-12,London North,Power & Electrics,4,2,1,1,50.0,25.0
2025-08-12,London South,Plant,11,7,2,2,63.6,18.2
2025-08-12,London South,Powered Access,12,9,2,1,75.0,16.7
2025-08-12,London South,Breakers & Drills,45,32,11,2,71.1,24.4
2025-08-12,London South,Material Handling & Logistics,37,25,9,3,67.6,24.3
2025-08-12,London South,Lifting Equipment,33,17,7,9,51.5,21.2
2025-08-12,London South,"Accommodation, Storage & Welfare",8,6,2,0,75.0,25.0
2025-08-12,London South,Cutting & Grinding,36,26,9,1,72.2,25.0
2025-08-12,London South,Access,5,2,1,2,40.0,20.0
2025-08-12,London South,Cleaning,12,6,3,3,50.0,25.0
2025-08-12,London South,Sanding & Woodworking,9,6,2,1,66.7,22.2
2025-08-12,London South,Landscaping & Gardening,3,2,1,0,66.7,33.3
2025-08-12,London South,Mechanical & Electrical,8,5,2,1,62.5,25.0
2025-08-12,London South,Painting & Decorating,3,2,1,0,66.7,33.3
2025-08-12,London South,Consumables,5,3,1,1,60.0,20.0
2025-08-12,London South,Climate Control,4,2,1,1,50.0,25.0
2025-08-12,London South,"Safety, Ventilation & Extraction",2,1,0,1,50.0,0.0
2025-08-12,London South,Propping & Support,1,1,0,0,100.0,0.0
2025-08-12,London South,Lighting,1,1,0,0,100.0,0.0
2025-08-12,London South,Fencing & Barriers,3,2,1,0,66.7,33.3
2025-08-12,London South,Fixing & Fastening,3,2,1,0,66.7,33.3
2025-08-12,London South,Concreting & Compaction,9,7,2,0,77.8,22.2
2025-08-12,London South,Fuel & Gas,2,1,0,1,50.0,0.0
2025-08-12,London South,Survey & Location,4,3,1,0,75.0,25.0
2025-08-12,London South,Site Equipment & Groundworks,5,3,1,1,60.0,20.0
2025-08-12,London South,Power & Electrics,5,3,1,1,60.0,20.0
2025-08-12,Birmingham,Plant,7,5,1,1,71.4,14.3
2025-08-12,Birmingham,Powered Access,14,9,3,2,64.3,21.4
2025-08-12,Birmingham,Breakers & Drills,53,35,11,7,66.0,20.8
2025-08-12,Birmingham,Material Handling & Logistics,23,14,5,4,60.9,21.7
2025-08-12,Birmingham,Lifting Equipment,28,20,6,2,71.4,21.4
2025-08-12,Birmingham,"Accommodation, Storage & Welfare",23,14,5,4,60.9,21.7
2025-08-12,Birmingham,Cutting & Grinding,27,16,5,6,59.3,18.5
2025-08-12,Birmingham,Access,5,4,1,0,80.0,20.0
2025-08-12,Birmingham,Cleaning,8,6,2,0,75.0,25.0
2025-08-12,Birmingham,Sanding & Woodworking,12,8,3,1,66.7,25.0
2025-08-12,Birmingham,Landscaping & Gardening,5,2,1,2,40.0,20.0
2025-08-12,Birmingham,Mechanical & Electrical,3,2,1,0,66.7,33.3
2025-08-12,Birmingham,Painting & Decorating,2,2,0,0,100.0,0.0
2025-08-12,Birmingham,Consumables,2,1,0,1,50.0,0.0
2025-08-12,Birmingham,Climate Control,3,2,1,0,66.7,33.3
2025-08-12,Birmingham,"Safety, Ventilation & Extraction",5,3,1,1,60.0,20.0
2025-08-12,Birmingham,Propping & Support,1,1,0,0,100.0,0.0
2025-08-12,Birmingham,Lighting,1,1,0,0,100.0,0.0
2025-08-12,Birmingham,Fencing & Barriers,2,1,1,0,50.0,50.0
2025-08-12,Birmingham,Fixing & Fastening,5,3,1,1,60.0,20.0
2025-08-12,Birmingham,Concreting & Compaction,3,2,1,0,66.7,33.3
2025-08-12,Birmingham,Fuel & Gas,3,2,1,0,66.7,33.3
2025-08-12,Birmingham,Survey & Location,4,2,1,1,50.0,25.0
2025-08-12,Birmingham,Site Equipment & Groundworks,5,4,1,0,80.0,20.0
2025-08-12,Birmingham,Power & Electrics,4,2,1,1,50.0,25.0
2025-08-12,Manchester,Plant,12,5,3,4,41.7,25.0
2025-08-12,Manchester,Powered Access,22,13,5,4,59.1,22.7
2025-08-12,Manchester,Breakers & Drills,43,27,11,5,62.8,25.6
2025-08-12,Manchester,Material Handling & Logistics,35,24,8,3,68.6,22.9
2025-08-12,Manchester,Lifting Equipment,30,16,6,8,53.3,20.0
2025-08-12,Manchester,"Accommodation, Storage & Welfare",21,14,5,2,66.7,23.8
2025-08-12,Manchester,Cutting & Grinding,36,21,8,7,58.3,22.2
2025-08-12,Manchester,Access,1,0,0,1,0.0,0.0
2025-08-12,Manchester,Cleaning,7,6,1,0,85.7,14.3
2025-08-12,Manchester,Sanding & Woodworking,4,3,1,0,75.0,25.0
2025-08-12,Manchester,Landscaping & Gardening,3,2,1,0,66.7,33.3
2025-08-12,Manchester,Mechanical & Electrical,3,2,1,0,66.7,33.3
2025-08-12,Manchester,Painting & Decorating,2,1,0,1,50.0,0.0
2025-08-12,Manchester,Consumables,6,3,1,2,50.0,16.7
2025-08-12,Manchester,Climate Control,3,2,1,0,66.7,33.3
2025-08-12,Manchester,"Safety, Ventilation & Extraction",6,4,1,1,66.7,16.7
2025-08-12,Manchester,Propping & Support,7,5,2,0,71.4,28.6
2025-08-12,Manchester,Lighting,2,1,0,1,50.0,0.0
2025-08-12,Manchester,Fencing & Barriers,2,1,0,1,50.0,0.0
2025-08-12,Manchester,Fixing & Fastening,3,2,1,0,66.7,33.3
2025-08-12,Manchester,Concreting & Compaction,9,6,2,1,66.7,22.2
2025-08-12,Manchester,Fuel & Gas,2,1,0,1,50.0,0.0
2025-08-12,Manchester,Survey & Location,2,1,0,1,50.0,0.0
2025-08-12,Manchester,Site Equipment & Groundworks,3,2,1,0,66.7,33.3
2025-08-12,Manchester,Power & Electrics,9,7,2,0,77.8,22.2
2025-08-12,Bristol,Plant,16,9,3,4,56.2,18.8
2025-08-12,Bristol,Powered Access,16,11,4,1,68.8,25.0
2025-08-12,Bristol,Breakers & Drills,51,30,11,10,58.8,21.6
2025-08-12,Bristol,Material Handling & Logistics,45,34,9,2,75.6,20.0
2025-08-12,Bristol,Lifting Equipment,29,15,7,7,51.7,24.1
2025-08-12,Bristol,"Accommodation, Storage & Welfare",13,9,3,1,69.2,23.1
2025-08-12,Bristol,Cutting & Grinding,25,20,6,0,80.0,24.0
2025-08-12,Bristol,Access,5,3,1,1,60.0,20.0
2025-08-12,Bristol,Cleaning,3,2,1,0,66.7,33.3
2025-08-12,Bristol,Sanding & Woodworking,6,3,1,2,50.0,16.7
2025-08-12,Bristol,Landscaping & Gardening,9,7,2,0,77.8,22.2
2025-08-12,Bristol,Mechanical & Electrical,6,3,1,2,50.0,16.7
2025-08-12,Bristol,Painting & Decorating,1,1,0,0,100.0,0.0
2025-08-12,Bristol,Consumables,2,1,0,1,50.0,0.0
2025-08-12,Bristol,"Safety, Ventilation & Extraction",4,2,1,1,50.0,25.0
2025-08-12,Bristol,Propping & Support,5,3,1,1,60.0,20.0
2025-08-12,Bristol,Lighting,3,2,1,0,66.7,33.3
2025-08-12,Bristol,Fencing & Barriers,3,3,1,0,100.0,33.3
2025-08-12,Bristol,Fixing & Fastening,6,4,1,1,66.7,16.7
2025-08-12,Bristol,Concreting & Compaction,5,3,1,1,60.0,20.0
2025-08-12,Bristol,Fuel & Gas,3,2,1,0,66.7,33.3
2025-08-12,Bristol,Survey & Location,8,5,2,1,62.5,25.0
2025-08-12,Bristol,Site Equipment & Groundworks,6,2,1,3,33.3,16.7
2025-08-12,Bristol,Power & Electrics,5,5,1,0,100.0,20.0
2025-08-12,Leeds,Plant,13,9,3,1,69.2,23.1
2025-08-12,Leeds,Powered Access,22,12,4,6,54.5,18.2
2025-08-12,Leeds,Breakers & Drills,42,31,9,2,73.8,21.4
2025-08-12,Leeds,Material Handling & Logistics,56,39,12,5,69.6,21.4
2025-08-12,Leeds,Lifting Equipment,41,27,10,4,65.9,24.4
2025-08-12,Leeds,"Accommodation, Storage & Welfare",25,18,6,1,72.0,24.0
2025-08-12,Leeds,Cutting & Grinding,37,25,8,4,67.6,21.6
2025-08-12,Leeds,Access,5,4,1,0,80.0,20.0
2025-08-12,Leeds,Cleaning,9,8,2,0,88.9,22.2
2025-08-12,Leeds,Sanding & Woodworking,5,3,1,1,60.0,20.0
2025-08-12,Leeds,Landscaping & Gardening,2,1,0,1,50.0,0.0
2025-08-12,Leeds,Mechanical & Electrical,4,2,1,1,50.0,25.0
2025-08-12,Leeds,Painting & Decorating,2,1,0,1,50.0,0.0
2025-08-12,Leeds,Consumables,3,1,1,1,33.3,33.3
2025-08-12,Leeds,Climate Control,3,2,1,0,66.7,33.3
2025-08-12,Leeds,"Safety, Ventilation & Extraction",1,0,0,1,0.0,0.0
2025-08-12,Leeds,Propping & Support,3,2,1,0,66.7,33.3
2025-08-12,Leeds,Lighting,1,1,0,0,100.0,0.0
2025-08-12,Leeds,Fencing & Barriers,2,1,0,1,50.0,0.0
2025-08-12,Leeds,Fixing & Fastening,1,0,0,1,0.0,0.0
2025-08-12,Leeds,Concreting & Compaction,4,3,1,0,75.0,25.0
2025-08-12,Leeds,Survey & Location,3,2,1,0,66.7,33.3
2025-08-12,Leeds,Site Equipment & Groundworks,1,1,0,0,100.0,0.0
2025-08-12,Leeds,Power & Electrics,4,3,1,0,75.0,25.0
2025-08-13,London North,Plant,11,8,2,1,72.7,18.2
2025-08-13,London North,Powered Access,17,10,4,3,58.8,23.5
2025-08-13,London North,Breakers & Drills,52,35,10,7,67.3,19.2
2025-08-13,London North,Material Handling & Logistics,40,28,9,3,70.0,22.5
2025-08-13,London North,Lifting Equipment,31,19,7,5,61.3,22.6
2025-08-13,London North,"Accommodation, Storage & Welfare",14,10,3,1,71.4,21.4
2025-08-13,London North,Cutting & Grinding,30,24,7,0,80.0,23.3
2025-08-13,London North,Access,3,2,1,0,66.7,33.3
2025-08-13,London North,Cleaning,7,4,2,1,57.1,28.6
2025-08-13,London North,Sanding & Woodworking,10,5,2,3,50.0,20.0
2025-08-13,London North,Landscaping & Gardening,2,1,0,1,50.0,0.0
2025-08-13,London North,Mechanical & Electrical,6,4,1,1,66.7,16.7
2025-08-13,London North,Painting & Decorating,1,1,0,0,100.0,0.0
2025-08-13,London North,Consumables,4,2,1,1,50.0,25.0
2025-08-13,London North,"Safety, Ventilation & Extraction",1,1,0,0,100.0,0.0
2025-08-13,London North,Propping & Support,1,1,0,0,100.0,0.0
2025-08-13,London North,Lighting,5,3,1,1,60.0,20.0
2025-08-13,London North,Fencing & Barriers,2,1,0,1,50.0,0.0
2025-08-13,London North,Fixing & Fastening,7,4,1,2,57.1,14.3
2025-08-13,London North,Concreting & Compaction,3,1,1,1,33.3,33.3
2025-08-13,London North,Fuel & Gas,1,1,0,0,100.0,0.0
2025-08-13,London North,Survey & Location,5,3,1,1,60.0,20.0
2025-08-13,London North,Site Equipment & Groundworks,4,2,1,1,50.0,25.0
2025-08-13,London North,Power & Electrics,4,3,1,0,75.0,25.0
2025-08-13,London South,Plant,11,8,2,1,72.7,18.2
2025-08-13,London South,Powered Access,12,6,3,3,50.0,25.0
2025-08-13,London South,Breakers & Drills,45,36,11,0,80.0,24.4
2025-08-13,London South,Material Handling & Logistics,37,22,8,7,59.5,21.6
2025-08-13,London South,Lifting Equipment,33,20,8,5,60.6,24.2
2025-08-13,London South,"Accommodation, Storage & Welfare",8,5,2,1,62.5,25.0
2025-08-13,London South,Cutting & Grinding,36,23,9,4,63.9,25.0
2025-08-13,London South,Access,5,3,1,1,60.0,20.0
2025-08-13,London South,Cleaning,12,9,2,1,75.0,16.7
2025-08-13,London South,Sanding & Woodworking,9,6,2,1,66.7,22.2
2025-08-13,London South,Landscaping & Gardening,3,2,1,0,66.7,33.3
2025-08-13,London South,Mechanical & Electrical,8,4,2,2,50.0,25.0
2025-08-13,London South,Painting & Decorating,3,2,1,0,66.7,33.3
2025-08-13,London South,Consumables,5,3,1,1,60.0,20.0
2025-08-13,London South,Climate Control,4,1,1,2,25.0,25.0
2025-08-13,London South,"Safety, Ventilation & Extraction",2,1,0,1,50.0,0.0
2025-08-13,London South,Propping & Support,1,1,0,0,100.0,0.0
2025-08-13,London South,Lighting,1,1,0,0,100.0,0.0
2025-08-13,London South,Fencing & Barriers,3,1,1,1,33.3,33.3
2025-08-13,London South,Fixing & Fastening,3,2,1,0,66.7,33.3
2025-08-13,London South,Concreting & Compaction,9,5,2,2,55.6,22.2
2025-08-13,London South,Fuel & Gas,2,1,0,1,50.0,0.0
2025-08-13,London South,Survey & Location,4,3,1,0,75.0,25.0
2025-08-13,London South,Site Equipment & Groundworks,5,4,1,0,80.0,20.0
2025-08-13,London South,Power & Electrics,5,4,1,0,80.0,20.0
2025-08-13,Birmingham,Plant,7,4,1,2,57.1,14.3
2025-08-13,Birmingham,Powered Access,14,3,3,8,21.4,21.4
2025-08-13,Birmingham,Breakers & Drills,53,39,11,3,73.6,20.8
2025-08-13,Birmingham,Material Handling & Logistics,23,15,5,3,65.2,21.7
2025-08-13,Birmingham,Lifting Equipment,28,16,6,6,57.1,21.4
2025-08-13,Birmingham,"Accommodation, Storage & Welfare",23,14,5,4,60.9,21.7
2025-08-13,Birmingham,Cutting & Grinding,27,16,6,5,59.3,22.2
2025-08-13,Birmingham,Access,5,4,1,0,80.0,20.0
2025-08-13,Birmingham,Cleaning,8,6,2,0,75.0,25.0
2025-08-13,Birmingham,Sanding & Woodworking,12,8,3,1,66.7,25.0
2025-08-13,Birmingham,Landscaping & Gardening,5,4,1,0,80.0,20.0
2025-08-13,Birmingham,Mechanical & Electrical,3,2,1,0,66.7,33.3
2025-08-13,Birmingham,Painting & Decorating,2,1,0,1,50.0,0.0
2025-08-13,Birmingham,Consumables,2,1,0,1,50.0,0.0
2025-08-13,Birmingham,Climate Control,3,2,1,0,66.7,33.3
2025-08-13,Birmingham,"Safety, Ventilation & Extraction",5,4,1,0,80.0,20.0
2025-08-13,Birmingham,Propping & Support,1,1,0,0,100.0,0.0
2025-08-13,Birmingham,Lighting,1,1,0,0,100.0,0.0
2025-08-13,Birmingham,Fencing & Barriers,2,1,0,1,50.0,0.0
2025-08-13,Birmingham,Fixing & Fastening,5,4,1,0,80.0,20.0
2025-08-13,Birmingham,Concreting & Compaction,3,2,1,0,66.7,33.3
2025-08-13,Birmingham,Fuel & Gas,3,2,1,0,66.7,33.3
2025-08-13,Birmingham,Survey & Location,4,2,1,1,50.0,25.0
2025-08-13,Birmingham,Site Equipment & Groundworks,5,3,1,1,60.0,20.0
2025-08-13,Birmingham,Power & Electrics,4,2,1,1,50.0,25.0
2025-08-13,Manchester,Plant,12,9,2,1,75.0,16.7
2025-08-13,Manchester,Powered Access,22,17,4,1,77.3,18.2
2025-08-13,Manchester,Breakers & Drills,43,29,10,4,67.4,23.3
2025-08-13,Manchester,Material Handling & Logistics,35,23,8,4,65.7,22.9
2025-08-13,Manchester,Lifting Equipment,30,20,7,3,66.7,23.3
2025-08-13,Manchester,"Accommodation, Storage & Welfare",21,17,4,0,81.0,19.0
2025-08-13,Manchester,Cutting & Grinding,36,18,7,11,50.0,19.4
2025-08-13,Manchester,Access,1,1,0,0,100.0,0.0
2025-08-13,Manchester,Cleaning,7,5,1,1,71.4,14.3
2025-08-13,Manchester,Sanding & Woodworking,4,3,1,0,75.0,25.0
2025-08-13,Manchester,Landscaping & Gardening,3,2,1,0,66.7,33.3
2025-08-13,Manchester,Mechanical & Electrical,3,2,1,0,66.7,33.3
2025-08-13,Manchester,Painting & Decorating,2,2,0,0,100.0,0.0
2025-08-13,Manchester,Consumables,6,4,1,1,66.7,16.7
2025-08-13,Manchester,Climate Control,3,2,1,0,66.7,33.3
2025-08-13,Manchester,"Safety, Ventilation & Extraction",6,3,1,2,50.0,16.7
2025-08-13,Manchester,Propping & Support,7,5,1,1,71.4,14.3
2025-08-13,Manchester,Lighting,2,1,0,1,50.0,0.0
2025-08-13,Manchester,Fencing & Barriers,2,1,0,1,50.0,0.0
2025-08-13,Manchester,Fixing & Fastening,3,3,1,0,100.0,33.3
2025-08-13,Manchester,Concreting & Compaction,9,8,2,0,88.9,22.2
2025-08-13,Manchester,Fuel & Gas,2,1,0,1,50.0,0.0
2025-08-13,Manchester,Survey & Location,2,1,0,1,50.0,0.0
2025-08-13,Manchester,Site Equipment & Groundworks,3,2,1,0,66.7,33.3
2025-08-13,Manchester,Power & Electrics,9,6,2,1,66.7,22.2
2025-08-13,Bristol,Plant,16,13,4,0,81.2,25.0
2025-08-13,Bristol,Powered Access,16,11,3,2,68.8,18.8
2025-08-13,Bristol,Breakers & Drills,51,29,11,11,56.9,21.6
2025-08-13,Bristol,Material Handling & Logistics,45,30,11,4,66.7,24.4
2025-08-13,Bristol,Lifting Equipment,29,23,7,0,79.3,24.1
2025-08-13,Bristol,"Accommodation, Storage & Welfare",13,7,3,3,53.8,23.1
2025-08-13,Bristol,Cutting & Grinding,25,15,6,4,60.0,24.0
2025-08-13,Bristol,Access,5,3,1,1,60.0,20.0
2025-08-13,Bristol,Cleaning,3,2,1,0,66.7,33.3
2025-08-13,Bristol,Sanding & Woodworking,6,5,1,0,83.3,16.7
2025-08-13,Bristol,Landscaping & Gardening,9,6,2,1,66.7,22.2
2025-08-13,Bristol,Mechanical & Electrical,6,4,1,1,66.7,16.7
2025-08-13,Bristol,Painting & Decorating,1,1,0,0,100.0,0.0
2025-08-13,Bristol,Consumables,2,1,0,1,50.0,0.0
2025-08-13,Bristol,"Safety, Ventilation & Extraction",4,3,1,0,75.0,25.0
2025-08-13,Bristol,Propping & Support,5,3,1,1,60.0,20.0
2025-08-13,Bristol,Lighting,3,2,1,0,66.7,33.3
2025-08-13,Bristol,Fencing & Barriers,3,2,1,0,66.7,33.3
2025-08-13,Bristol,Fixing & Fastening,6,4,1,1,66.7,16.7
2025-08-13,Bristol,Concreting & Compaction,5,3,1,1,60.0,20.0
2025-08-13,Bristol,Fuel & Gas,3,2,1,0,66.7,33.3
2025-08-13,Bristol,Survey & Location,8,5,2,1,62.5,25.0
2025-08-13,Bristol,Site Equipment & Groundworks,6,4,1,1,66.7,16.7
2025-08-13,Bristol,Power & Electrics,5,3,1,1,60.0,20.0
2025-08-13,Leeds,Plant,13,7,3,3,53.8,23.1
2025-08-13,Leeds,Powered Access,22,16,5,1,72.7,22.7
2025-08-13,Leeds,Breakers & Drills,42,30,8,4,71.4,19.0
2025-08-13,Leeds,Material Handling & Logistics,56,37,13,6,66.1,23.2
2025-08-13,Leeds,Lifting Equipment,41,24,8,9,58.5,19.5
2025-08-13,Leeds,"Accommodation, Storage & Welfare",25,13,6,6,52.0,24.0
2025-08-13,Leeds,Cutting & Grinding,37,24,8,5,64.9,21.6
2025-08-13,Leeds,Access,5,4,1,0,80.0,20.0
2025-08-13,Leeds,Cleaning,9,6,2,1,66.7,22.2
2025-08-13,Leeds,Sanding & Woodworking,5,4,1,0,80.0,20.0
2025-08-13,Leeds,Landscaping & Gardening,2,1,0,1,50.0,0.0
2025-08-13,Leeds,Mechanical & Electrical,4,3,1,0,75.0,25.0
2025-08-13,Leeds,Painting & Decorating,2,1,0,1,50.0,0.0
2025-08-13,Leeds,Consumables,3,2,1,0,66.7,33.3
2025-08-13,Leeds,Climate Control,3,2,1,0,66.7,33.3
2025-08-13,Leeds,"Safety, Ventilation & Extraction",1,1,0,0,100.0,0.0
2025-08-13,Leeds,Propping & Support,3,2,1,0,66.7,33.3
2025-08-13,Leeds,Lighting,1,1,0,0,100.0,0.0
2025-08-13,Leeds,Fencing & Barriers,2,2,0,0,100.0,0.0
2025-08-13,Leeds,Fixing & Fastening,1,1,0,0,100.0,0.0
2025-08-13,Leeds,Concreting & Compaction,4,2,1,1,50.0,25.0
2025-08-13,Leeds,Survey & Location,3,2,1,0,66.7,33.3
2025-08-13,Leeds,Site Equipment & Groundworks,1,1,0,0,100.0,0.0
2025-08-13,Leeds,Power & Electrics,4,3,1,0,75.0,25.0
2025-08-14,London North,Plant,11,7,2,2,63.6,18.2
2025-08-14,London North,Powered Access,17,9,4,4,52.9,23.5
2025-08-14,London North,Breakers & Drills,52,31,10,11,59.6,19.2
2025-08-14,London North,Material Handling & Logistics,40,26,10,4,65.0,25.0
2025-08-14,London North,Lifting Equipment,31,27,6,0,87.1,19.4
2025-08-14,London North,"Accommodation, Storage & Welfare",14,11,3,0,78.6,21.4
2025-08-14,London North,Cutting & Grinding,30,19,6,5,63.3,20.0
2025-08-14,London North,Access,3,2,1,0,66.7,33.3
2025-08-14,London North,Cleaning,7,4,1,2,57.1,14.3
2025-08-14,London North,Sanding & Woodworking,10,7,2,1,70.0,20.0
2025-08-14,London North,Landscaping & Gardening,2,2,0,0,100.0,0.0
2025-08-14,London North,Mechanical & Electrical,6,5,1,0,83.3,16.7
2025-08-14,London North,Painting & Decorating,1,1,0,0,100.0,0.0
2025-08-14,London North,Consumables,4,3,1,0,75.0,25.0
2025-08-14,London North,"Safety, Ventilation & Extraction",1,1,0,0,100.0,0.0
2025-08-14,London North,Propping & Support,1,1,0,0,100.0,0.0
2025-08-14,London North,Lighting,5,3,1,1,60.0,20.0
2025-08-14,London North,Fencing & Barriers,2,2,0,0,100.0,0.0
2025-08-14,London North,Fixing & Fastening,7,4,1,2,57.1,14.3
2025-08-14,London North,Concreting & Compaction,3,2,1,0,66.7,33.3
2025-08-14,London North,Fuel & Gas,1,1,0,0,100.0,0.0
2025-08-14,London North,Survey & Location,5,4,1,0,80.0,20.0
2025-08-14,London North,Site Equipment & Groundworks,4,3,1,0,75.0,25.0
2025-08-14,London North,Power & Electrics,4,3,1,0,75.0,25.0
2025-08-14,London South,Plant,11,7,2,2,63.6,18.2
2025-08-14,London South,Powered Access,12,5,3,4,41.7,25.0
2025-08-14,London South,Breakers & Drills,45,29,9,7,64.4,20.0
2025-08-14,London South,Material Handling & Logistics,37,21,9,7,56.8,24.3
2025-08-14,London South,Lifting Equipment,33,26,7,0,78.8,21.2
2025-08-14,London South,"Accommodation, Storage & Welfare",8,6,2,0,75.0,25.0
2025-08-14,London South,Cutting & Grinding,36,22,8,6,61.1,22.2
2025-08-14,London South,Access,5,3,1,1,60.0,20.0
2025-08-14,London South,Cleaning,12,9,3,0,75.0,25.0
2025-08-14,London South,Sanding & Woodworking,9,5,2,2,55.6,22.2
2025-08-14,London South,Landscaping & Gardening,3,2,1,0,66.7,33.3
2025-08-14,London South,Mechanical & Electrical,8,4,2,2,50.0,25.0
2025-08-14,London South,Painting & Decorating,3,2,1,0,66.7,33.3
2025-08-14,London South,Consumables,5,2,1,2,40.0,20.0
2025-08-14,London South,Climate Control,4,3,1,0,75.0,25.0
2025-08-14,London South,"Safety, Ventilation & Extraction",2,1,0,1,50.0,0.0
2025-08-14,London South,Propping & Support,1,1,0,0,100.0,0.0
2025-08-14,London South,Lighting,1,1,0,0,100.0,0.0
2025-08-14,London South,Fencing & Barriers,3,2,1,0,66.7,33.3
2025-08-14,London South,Fixing & Fastening,3,2,1,0,66.7,33.3
2025-08-14,London South,Concreting & Compaction,9,5,2,2,55.6,22.2
2025-08-14,London South,Fuel & Gas,2,1,0,1,50.0,0.0
2025-08-14,London South,Survey & Location,4,3,1,0,75.0,25.0
2025-08-14,London South,Site Equipment & Groundworks,5,3,1,1,60.0,20.0
2025-08-14,London South,Power & Electrics,5,3,1,1,60.0,20.0
2025-08-14,Birmingham,Plant,7,5,2,0,71.4,28.6
2025-08-14,Birmingham,Powered Access,14,7,3,4,50.0,21.4
2025-08-14,Birmingham,Breakers & Drills,53,38,11,4,71.7,20.8
2025-08-14,Birmingham,Material Handling & Logistics,23,14,5,4,60.9,21.7
2025-08-14,Birmingham,Lifting Equipment,28,22,6,0,78.6,21.4
2025-08-14,Birmingham,"Accommodation, Storage & Welfare",23,15,5,3,65.2,21.7
2025-08-14,Birmingham,Cutting & Grinding,27,15,6,6,55.6,22.2
2025-08-14,Birmingham,Access,5,3,1,1,60.0,20.0
2025-08-14,Birmingham,Cleaning,8,5,2,1,62.5,25.0
2025-08-14,Birmingham,Sanding & Woodworking,12,8,3,1,66.7,25.0
2025-08-14,Birmingham,Landscaping & Gardening,5,3,1,1,60.0,20.0
2025-08-14,Birmingham,Mechanical & Electrical,3,2,1,0,66.7,33.3
2025-08-14,Birmingham,Painting & Decorating,2,2,0,0,100.0,0.0
2025-08-14,Birmingham,Consumables,2,1,0,1,50.0,0.0
2025-08-14,Birmingham,Climate Control,3,2,1,0,66.7,33.3
2025-08-14,Birmingham,"Safety, Ventilation & Extraction",5,3,1,1,60.0,20.0
2025-08-14,Birmingham,Propping & Support,1,1,0,0,100.0,0.0
2025-08-14,Birmingham,Lighting,1,1,0,0,100.0,0.0
2025-08-14,Birmingham,Fencing & Barriers,2,1,0,1,50.0,0.0
2025-08-14,Birmingham,Fixing & Fastening,5,3,1,1,60.0,20.0
2025-08-14,Birmingham,Concreting & Compaction,3,2,1,0,66.7,33.3
2025-08-14,Birmingham,Fuel & Gas,3,2,1,0,66.7,33.3
2025-08-14,Birmingham,Survey & Location,4,3,1,0,75.0,25.0
2025-08-14,Birmingham,Site Equipment & Groundworks,5,4,1,0,80.0,20.0
2025-08-14,Birmingham,Power & Electrics,4,2,1,1,50.0,25.0
2025-08-14,Manchester,Plant,12,8,3,1,66.7,25.0
2025-08-14,Manchester,Powered Access,22,14,5,3,63.6,22.7
2025-08-14,Manchester,Breakers & Drills,43,32,9,2,74.4,20.9
2025-08-14,Manchester,Material Handling & Logistics,35,22,9,4,62.9,25.7
2025-08-14,Manchester,Lifting Equipment,30,21,7,2,70.0,23.3
2025-08-14,Manchester,"Accommodation, Storage & Welfare",21,13,5,3,61.9,23.8
2025-08-14,Manchester,Cutting & Grinding,36,17,9,10,47.2,25.0
2025-08-14,Manchester,Access,1,1,0,0,100.0,0.0
2025-08-14,Manchester,Cleaning,7,4,2,1,57.1,28.6
2025-08-14,Manchester,Sanding & Woodworking,4,3,1,0,75.0,25.0
2025-08-14,Manchester,Landscaping & Gardening,3,2,1,0,66.7,33.3
2025-08-14,Manchester,Mechanical & Electrical,3,2,1,0,66.7,33.3
2025-08-14,Manchester,Painting & Decorating,2,1,0,1,50.0,0.0
2025-08-14,Manchester,Consumables,6,4,1,1,66.7,16.7
2025-08-14,Manchester,Climate Control,3,2,1,0,66.7,33.3
2025-08-14,Manchester,"Safety, Ventilation & Extraction",6,5,1,0,83.3,16.7
2025-08-14,Manchester,Propping & Support,7,3,2,2,42.9,28.6
2025-08-14,Manchester,Lighting,2,1,0,1,50.0,0.0
2025-08-14,Manchester,Fencing & Barriers,2,2,0,0,100.0,0.0
2025-08-14,Manchester,Fixing & Fastening,3,2,1,0,66.7,33.3
2025-08-14,Manchester,Concreting & Compaction,9,6,2,1,66.7,22.2
2025-08-14,Manchester,Fuel & Gas,2,1,0,1,50.0,0.0
2025-08-14,Manchester,Survey & Location,2,2,0,0,100.0,0.0
2025-08-14,Manchester,Site Equipment & Groundworks,3,2,1,0,66.7,33.3
2025-08-14,Manchester,Power & Electrics,9,5,2,2,55.6,22.2
2025-08-14,Bristol,Plant,16,11,4,1,68.8,25.0
2025-08-14,Bristol,Powered Access,16,8,4,4,50.0,25.0
2025-08-14,Bristol,Breakers & Drills,51,35,11,5,68.6,21.6
